"Someone In The Crowd?(From ""La La Land"" Soundtrack)",Callie Hernandez
거짓말 (feat. 이해리 Of 다비치),매드 클라운(Mad Clown)
빙빙 (Bing Bing),에이오에이(AOA)
"A Lovely Night?(From ""La La Land"" Soundtrack)",Ryan Gosling(라이언 고즐링)
너였다면,정승환
D (half moon) (Feat. 개코),DEAN(딘)
피 땀 눈물,방탄소년단
이별을 배웠어 (Always In My Heart),슬옹
내가 저지른 사랑,임창정
City Of Stars?(Pier),Ryan Gosling(라이언 고즐링)
CHEER UP,TWICE (트와이스)
Remember,S.E.S.
싸운날,볼빨간사춘기
나홀로 집에 (Feat. 정용화),라비(Ravi)
Start A Fire,John Legend(존 레전드)
끝,권진아
휘파람,BLACKPINK
"And July (feat. DEAN, DJ Friz)",헤이즈(HEIZE)
숨,박효신
아침에 비타민 (Acoustic ver.),커피소년
Closer (feat. Halsey),The Chainsmokers(체인스모커스)
그대라는 세상,윤미래
바람꽃,이선희
어떻게 지내,크러쉬(Crush)
Aurora ~ 새벽의 빛,데이브레이크(DAYBREAK)
TOUCH,신화
Love Me Like Nothing's Happened Before,트램폴린(Trampauline)
목요일 밤 (feat. 빈지노),어반 자카파(Urban Zakapa)
New Day,짙은(Zitten)
별의 별,Apink (에이핑크)
For Life,EXO
어젠 어제야 (feat. Jerry.k),돕플라밍고(Doplamingo)
거짓말이야,B1A4
Don't Wanna Know?(feat. Kendrick Lamar),Maroon 5(마룬 파이브)
남아있어 (feat. Crush),로꼬
안아줘,정준일
Day Day (Feat. 박재범) (Prod. by GRAY),비와이(BewhY)
널 미워하지 않길 (Prod. By 하동균),김나영
그냥 한번 (Feat. JB Of GOT7),백아연
붐붐,세븐틴(Seventeen)
BeBe,서인국
Santa Tell Me,Ariana Grande(아리아나 그란데)
오늘은 어제보다 괜찮았지,이석훈
STAY,BLACKPINK
여행,볼빨간사춘기
빙글뱅글 (Bingle Bangle),에이오에이(AOA)
FAKE LOVE,방탄소년단
Lonely,볼빨간사춘기
밤 (Time for the moon night),여자친구(GFRIEND)
LATATA,(여자)아이들
데리러 가 (Good Evening),SHINee (샤이니)
주지마,로꼬
야경,볼빨간사춘기
SELFISH (feat. 슬기 Of Red Velvet),문별(마마무)
"안녕, 곰인형",볼빨간사춘기
바람사람,볼빨간사춘기
지나오다,닐로(Nil_O)
What is Love?,TWICE (트와이스)
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
빛나리,펜타곤 (PENTAGON)
붕붕 (Feat. 식케이) (Prod. GroovyRoom),김하온(HAON)
Clip,볼빨간사춘기
잊을만하면,크러쉬(Crush)
그때 헤어지면 돼,로이킴
Anpanman,방탄소년단
사랑을 했다 (LOVE SCENARIO),iKON
You,멜로망스(MeloMance)
전하지 못한 진심 (Feat. Steve Aoki),방탄소년단
EVERYDAY,WINNER
뿜뿜,모모랜드(MOMOLAND)
꽃 길,BIGBANG
Fly Away,신승훈
Roller Coaster,청하
우리 서로,김나영
별이 빛나는 밤,마마무(Mamamoo)
소나기 (Feat. 10cm),용준형
My Way,이수
어른,Sondia
욕심,멜로망스(MeloMance)
Handclap,Fitz & The Tantrums
No Tears Left To Cry,Ariana Grande(아리아나 그란데)
"별, 그대 (The Only Star)",황치열
Love Maze,방탄소년단
열애중,벤
눈사람,정승환
Airplane pt.2,방탄소년단
영원히,성시경
바코드 (Prod. GroovyRoom),김하온(HAON)
넋두리,닐로(Nil_O)
봄날,방탄소년단
낙원,방탄소년단
비도 오고 그래서 (Feat. 신용재),헤이즈(HEIZE)
Done For Me,Charlie Puth(찰리 푸스)
달리 (Dally) (feat. GRAY),효린
그날처럼,장덕철
선물,멜로망스(MeloMance)
어린 왕자 (Prod. Godic) ,김하온(HAON)
EASY (feat. 식케이),휘인(마마무)
빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
FRIENDS,Marshmello(마시멜로)
DNA,방탄소년단
"My Paradise (feat. 청하, Vinxen)",그루비룸 (GroovyRoom)
시차 (We Are) (Feat. 로꼬 & GRAY),우원재
Havana (feat. Young Thug),Camila Cabello(카밀라 카베요)
Additional,폴킴(Paul Kim)
All Day All Night,SHINee (샤이니)
북 (Prod.SLO),이로한(WEBSTER B)
미안해,양다일
전혀 (Feat. 우원재) (Prod. GroovyRoom),빈첸(VINXEN)
134340,방탄소년단
So What,방탄소년단
Magic Shop,방탄소년단
나타나줘 (Feat. 박재범),로꼬
Jenga (Feat. Gaeko),헤이즈(HEIZE)
가을 안부,먼데이 키즈(Monday Kiz)
instagram,DEAN(딘)
REALLY REALLY,WINNER
Bad Boy,Red Velvet (레드벨벳)
OSAKA (Feat. ZICO),ELO
밤편지,아이유(IU)
비,폴킴(Paul Kim)
마지막처럼,BLACKPINK
폰서트,10cm(십센치)
무슨 말이 필요해 (Go Away),용준형
우리 둘만 아는,윤건
짙어져,멜로망스(MeloMance)
all of my life,박원
안녕 (You & I),SHINee (샤이니)
JUMP,SHINee (샤이니)
Heart Shaker,TWICE (트와이스)
이 별,길구봉구
좋니,윤종신
Thunder,Imagine Dragons(이매진 드래곤스)
Shape Of You,Ed Sheeran(에드 시런)
나의 사춘기에게,볼빨간사춘기
밤이 되니까,펀치 (Punch)
"다시, 우리",길구봉구
Undercover,SHINee (샤이니)
비행운,문문(MoonMoon)
#첫사랑,볼빨간사춘기
Lullaby,신승훈
There's Nothing Holdin' Me Back,Shawn Mendes(션 멘데스)
이토록 네가 눈부셔,1415
Super Duper,에이오에이(AOA)
